Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2016","2016","kcal/capita/day","847","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","878","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2018","2018","kcal/capita/day","826","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2019","2019","kcal/capita/day","802","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2905","Cereals - Excluding Beer","2020","2020","kcal/capita/day","794","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2908","Sugar Crops","2016","2016","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2908","Sugar Crops","2017","2017","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2908","Sugar Crops","2018","2018","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2908","Sugar Crops","2019","2019","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2908","Sugar Crops","2020","2020","kcal/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2016","2016","kcal/capita/day","480","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2017","2017","kcal/capita/day","483","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2018","2018","kcal/capita/day","489","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2019","2019","kcal/capita/day","473","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2020","2020","kcal/capita/day","494","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2918","Vegetables","2016","2016","kcal/capita/day","77","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2918","Vegetables","2017","2017","kcal/capita/day","79","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2918","Vegetables","2018","2018","kcal/capita/day","81","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2918","Vegetables","2019","2019","kcal/capita/day","74","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2918","Vegetables","2020","2020","kcal/capita/day","73","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2016","2016","kcal/capita/day","107","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2017","2017","kcal/capita/day","107","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2018","2018","kcal/capita/day","112","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2019","2019","kcal/capita/day","108","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2020","2020","kcal/capita/day","111","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2016","2016","kcal/capita/day","159","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2924","Alcoholic Beverages","2017","2017","kcal/capita/day","164","E","Estimated value"
